Sentences,Langid
ekkaranathal mattu nilayangalekkal erattiyolam divasangal ee niyathinu pravarthikkan aavunnu.,ml
kooduthal vivaravum kanunna edangalum,ml
bheeshanippeduthiyaal iva shareeram churutty vaaya thurann avayude vishappallukal purath kaanikkunnu.,ml
ee avasarathil Sparkpluggil ninnum yettavum akaleyayi avasanam kathenda mishrithabhagam kooduthal mardikappedukayum kramathethamaya thapanilayilethukayum cheyunnu.,ml
pathinalu vayassuvareyulla saisavavum balyavum saisavathil polum than papam cheythittundakumennum ennal ava thanikk anusmarikkanakunnillennum grandhakaran parayunnu.,ml
panathinte alavilum labhythayilum vilayilum kendrabank varuthunna niyanthranangale sambandhikunna nayatheyanu pananayam yennu parayunnathu.,ml
prathiyogiyaaya panikkarude sankham pinkalikkaaraan.,ml
"enni janakiyamaya ella protocolukaludeyum pinthunayundayirunnathinal, Netware kudi odunna O",ml
muhammadhali thudakkam kurichu.,ml
"neppaal, bhoottaan, myaanmar ennivayum ee shalabhangalude aavaasakendhramaanu.",ml
"raajaavakunnathinu munp pathth kollam sreelankayil kazhinja shrimdhyavarmman, bhudhamathaanuyaayi maariyirunnu.",ml
"Ranjit Singhinte bharanakalathu, Venturaykupurame, Jean Francois Allard yenna Sikh senayile mattoru Frenchukaranayirunna senanayakanum ee kettidam thamasathinupayogichirunnu.",ml
raashtreeya swayamsevak samkhiloode raashtreeya pravarthanam aarambhicha adwaani indyayile B.J.P sajeevamaakkunnathil pradhaana panku vahichu.,ml
ethil rogiyude nilavilulla kidappu reethiyil ninnum matoru reethiyilekk matuvanulla saukaryangal ulkkollichittulla kattilukalum labhyamanu,ml
thaamasiyaathe sistar sudhayede pravarthanam oru cheriya samraajyam thanne srishttichu.,ml
indhyan dhesheeya vanithaa hokki teem angamaanu dheep gres ekka.,ml
2018 januvariyile sthithiyanusarich indiayile eettavum vegatha koodiya sooper kampyuttaraanu prethyush.,ml
yuvakalasahithi kasarkode jilla Vice Presidentayirunnu.,ml
"Vanakkam, neenga eppadi irukkeenga?",ta
En peyar Karthik.,ta
Ungalukk coffee pidikkuma?,ta
Enakku pusthagangal padikkiradhu romba pidikkum.,ta
Innaikku vaanilai romba azhaga irukku.,ta
Naan school pogiren.,ta
Neenga Chennai la irukkeenga?,ta
Ungal naal eppadi irundhadhu?,ta
Enakku udhavi venum.,ta
Naalai naam paakalaam.,ta
Neenga epdi irukkeenga?,ta
Naan nallaa irukken.,ta
Inga vaanga.,ta
Neenga enna saapiduveenga?,ta
Naan paal kudippen.,ta
Neenga enge irukkeenga?,ta
Innikku yen veetla kalyanam.,ta
Namma veedu enga?,ta
Ellarum sandhoshamaa irukkaanga.,ta
Ungal peyar enna?,ta
Idha paarunga.,ta
Andha paarunga.,ta
Neenga enna ninaikkureenga?,ta
Naan enna ninaippen?,ta
Neenga romba alagaa irukkeenga.,ta
Neenga enga pogureenga?,ta
Naan saapituvean.,ta
Anga than.,ta
Andha vaazhkai.,ta
Nammala ellaam romba nesikrom.,ta
Naan enna solven?,ta
Indha neram.,ta
Neenga varaange?,ta
Naan paarpen.,ta
Neengalum alagaa irukkeenga.,ta
Vanga polaam.,ta
Neenga kettukiraange?,ta
Inga utkaarunga.,ta
Andha poyittange.,ta
Andha vaazhkai.,ta
Naan kettuppen.,ta
Neenga ellam.,ta
Enna seyureenga?,ta
Enna vishayam?,ta
Ellam nallaa irukku.,ta
Neenga sandhoshamaa irukkeenga?,ta
Naan sandhoshamaa irukken.,ta
Enna paarthu kolunga.,ta
Indha naal pala velaigal.,ta
Ungalukku enna yosi.,ta
"irandu mathangalukkum kuraivaga kalaalavileye antha vilayattil payirchi petru, Edmondanil nadaiperaviruntha desiya alavilaana potiyil panguperum kuluvil idam petrar.",ta
"pelhar sattamandrath thoguthi, Biharin sattamandraththirkaana 243 thoguthigalil ondru. Ithu paanga makkalavi thoguthikku utpattathu.",ta
Pothuch saarbin maiyak karuththu veliyum neramum velineram yenappaduvathan irandu amsangal yenpathaagum.,ta
Kaan saahib yendraal muthanmaith thalaivar allathu thalaimaith thalpathi yena porul kollalaam,ta
 piragu sakravarthy raasaasikku avar kondu vantha kulakkalvith thittaththaal athiga alavil yethirppugal kilambi irundha neram.,ta
Singappoorin little indhiyaavil indhiyath thozhilaali Sakthivel kumaaravelu mathu arunthivittu perunthil yerum pothu thavari vizhundhu maranam adainthaar.,ta
Intha thozilnutpaththin payanpaatinaal pothumakkalin adippadai urimaigal mattrum thanippatta vaazhkkai ragasiyam aagiyavattrukku theengu neridalaam athu mattumindri oru nabarin thanippatta thagavalgal avarukku ,ta
theriyaamaleye thirudappadum aabaththum intha thozhilnutpaththin payanpaatil irukkirathu.,ta
"kiruthuva samayap pinnani irundhaalum, samayathirku apparpatu vaazhviyal saarndha ilakkiyamaaga pudhuvaazhu malarndhulladhu.",ta
"Katidakkalai varaipadam yenbathu, kattidath thittam ondrukkaagak kattidakkalaingargalaal varayappadum thozhilnutpa varaipadam aagum.",ta
Thanthai thiththan ivanukku aatchi vazhangaathapothu pullarrisi unavai mattume undu vaazhnthuvandhan,ta
intha noolukku sirappu paayiram ondrum naangu saathukavikalum irandu seythipaadalkalum ullana.,ta
saaisathuratthinmam enbathu ganasathuratthaip pondra moondru parimaana uruvam.,ta
"kaarisin karutthuppadi, ariviyal sodhanaigal moolam meippikkak koodumaana manidha moolaiyin seyalgalthaan ""nalavaazhvu"".",ta
Aanal aalunar kurippidum kaala avagasaththirkul sattapperavaiyil thankkup perupaanmai aatharavu iruppathai nirubikka vendum.,ta
muppattagam pondra velai seiyum nunokki iyarbiya amaippugal oliyai piradhipalithu sidharadippadhan moolamaaga tholin nirathilirundhum maarupatta oru vannaththai uruvaakugindrana.,ta
Antha paththirikaiyil veliyidappattirundha kairegaip padaththai vaasagargal kairegai readeril payanpadutthi yemaattra mudiyum.,ta
orumurai kadu onrin mathiyil senrukondirukkum pothu tham petror avanai thaagam karanamaaga kudineer konduvara sonnaar.,ta
ithagaiya kurungan saalarangalin vazhiyay veesum kadungaatrukkum aatraamal makkal mudangik kidanthamaiyay silapathikaaram kuripidugirathu.,ta
"Ithan kathiriyakka mattrum rasaayana vinaiththiran kaaranamaga uyir vethiyiyal seyalmuraigalil inainthirukkumpothu, aarokkiyaththirku paathagamaana vilaivugal yerpadalaam.",ta
"Panjanai(panjai payanpaduthi uruvaakkappatta menpadukkai) muthaliyavattrai payanpadiththi urangaamal, tharaiyil paay yendra virippaip payanpaduththi urangal aagiya merkooriya ashtaanga seelangalum ithil adangum.",ta
iravil aivana nel vayalil kaaval puriyum aadavar velicchatthukkaagath theeppantham vaitthiruppar.,ta
"Oriyolide kudumbatthil, payobiyas, fingbirds, pittohooyis mattrum murkaala maankuyilkalum adangum.",ta
Chennai vaanoli nilaiyam matrum athan panbalai varisaigalilum ivarathu kavithaigal oliparappappattullana.,ta
indha inaigaramaanadhu ikkopugalin keezh urumaariya orulagu sadhurathin bimbamaaga amaiyum.,ta
"Raasarisi sanagar, arasavaiyil koodiyiruntha munivargalidam, brammakganaththai sariyaaga vilakkubavarukku aayiram pasukkalai thaanamaaga tharukiren yendraar.",ta
"Themaangani, pulimaangani, karuvilangani, koovilangani yendra vaaypaattal amaiyapperum naangu seergalum vanjik seergalukku uthaaranangal aagum.",ta
Kamarajar amaicharavai amaittha vidhatthil sila nutpamana vishayangal irundhana.,ta
ivar 1993 il merkindhiyath theevugal pengal dhesiya ani urupinaraaga pengal orunaal pannatuth thudupaata potigalil pangukondaar.,ta
Athe velaiyil google thamizhaakkak karuvi thaniyaaga oru idaimugappirku nammai ittuch sendru angu mozhipeyarppup paniyaich seyya vaikirathu.,ta
marraga indha amaipphil annaithu samaingalin aariya kootpadugal amaindhiruindhana.,ta
ithan kaalanilai perumbaalum soodaanathaagavum athiga eerppatham ullathaagavum kaanappadum.,ta
seena venkalip paandagkalai pol thondruvatharkaaga ithanmel vennira minukkap poochchup poosappadugirathu.,ta
Inthak kalai vadivaththirku muzhumoochchaan oththuzahppuk koduththathu keezhai thiruchsabaiye yendraal migaiyaagaathu.,ta
Espaaniyargal mattrum mexigargalin aatchiyin keezh pannaigal nandraaga valarchchhiyuttrana.,ta
"Vethiyiyal paguppaayvugalil niram niruththiyaagavum, mattrum sayath thozhililum ithu payanpadugirathu.",ta
theevira arasiyal nadavadikkaikal kaaranamaaga Natal palkalaikazhakaththilirunthu avar vaeliyaetrappattaar.,ta
"melum karnanin virodhi arjunanin kaduvulaana indhiranukku, thanadhu paadhugaapu kavasathai koduthadhu indha idathildhaan endru karudhappadugiradhu.",ta
Bothai marundhuk kotpaadu seerthiruththa munnettram thodarbaana ulagaarntha muyarchigalukkaga sorres nithiyuthavi aliththullaar.,ta
pala thanippatta aaivugalin mudivugalilirundhu aso sermangal alladhu niramipporutkal oru vagaiyaana thol putrunoiyudan thodarpudaiyavaiyaaga ariyappadugindrana.,ta
Pinpuramaaga kuttikkaranam adiththal (Irandukkum merpatta kuttukkaranam adippthaal karnap puraaggal yendarazhaikkappadukindrana),ta
Rajabakshavin niyamanam arasiyalamaippukku ethiraanathu enak koori vikramasinga ithanai yerkavillai.,ta
Alavuru yenbathu oru kanakkin theervukaanum seyalmurai muzhuvathilum maaraamal iruppathaagum.,ta
"Vethiyiyal paguppaayvugalil niram niruththiyaagavum, mattrum sayath thozhililum ithu payanpadugirathu.",ta
aallitta californiyavil kudiyerathai thuvagga esuppanniya arasu panam kooduthadhu.,ta
"saandralitthal, kaappeedu matrum muthaleettu patthirangalin saandrukalaip peruthal;",ta
"ikkudaivarai mummoortthigalukkaaga amaikkappattathu ena nambappadugindra pothilum, ingulla karuvaraigalil naanmugan sirpam illai atharkup pathilaaga oru kudaivaraiyil naangu kaigaludanum oru thalaiyudanum ",ta
"indhumatha seerthirutha iyyakangal enpavai indhu mathathil kaalathaal marainthu pona pazha vazakkangalai meendum arimugam seyyavum, meeluruvaakkam seyyavum thottruvikkappettra iyyakangalaakum.",ta
Itharku Sunthara sozhar noyuttru irunthamaiyinaal Kunthavai manathil yerpatta maattramaaga irukkallam yendru ponniyin selvanil kalki koorugiraar.,ta
"immuraiyil, namm endha thalathirku sella virumbugiramo athai pathivu seithida vendum.",ta
Kuran ku piratama mantiri kulantaikal katai Oru murai oru putticali arinar oruttaru kattu vazhiya poikittu iruntaru Appa oru kuranku anka patuttu tukikittu iruntuccu vilaiyatta anta kurankota vala miticcaru anta arinar appattan terincatu patuttu iruntatu kuranku illa atu oru arakkan rompa kopamana arakkan tannota vala miticca arinara kuranka marittaru ,ta
Uta anta arinar kuranka marittaru ciru pillapola tan cenca tavarinala ippati kuranka marittamenna varutta patta anta arinar anta kattulay vazha arampiccaru orunala anta pakkama vanta payanikal rentuperu oru marattatiyla tanki ilaipparingka atula oru ,ta
payani connar nalikku namma aranmana iyila oru potti natakka pokutu atula yar tankalota ariva kattu jeyikkurangalavungalukku piratama mantiri patavi kotukka porata aracar arivacci irukkarnu connaru,ta
Ita marattatiyil iruntu ketta kuranku tanum anta pottiyila kalantukitta ninaiccatu utane pattanatukku pona anta kuranku potti natakkura titalku poccu anka pottikku tayara vantirunta arinarkal nikira varicaiyila atuvum ninnuccu ata partta kavalarkal accarya pattu ponanka,ta
anta kuranku pottikku patil ezuturai olaiyil tannota pera ezuti irunta parttatum inta kurankukku vay peca mutiyalainalum ezuti puriya vaikkira tiran irukku atanala ituvum pottiyila kalantukitalam ariviccanka Potti titalku vanta aracar etu kanamanu irakā illai kallānu? ,ta
Tannota mutal kelviyai kettaru ella arinarkalum tankalukku terinca vitaikalai ezutunangka cilar ariviyal purvama ezutunangka āna kuranku atu suzhalai poruttatu ilakuvana manacu kutra unarcci melitta piraku kanamaka marukiratum ezuti kotutru kuranku,ta
vittiyacamana anukumuraia partta aracar kurankaiye kavanikka arampiccaruEllā aṟiñarkaḷum aracarai viṭa paciyōṭu irukkuṟa mutiyavarukkuttāṉ koṭukkaṇumṉu coṉṉāṅkaatukku kuraṅku eṉṉa viṭai eḻuti irukkumṉu ellārum āvalā pārttukiṭṭu iruntāṅka appa aracar kuraṅku eḻuti irunta ōlaiyai eṭuttu paṭiccāru,ta
Atula inta nattula oruttar paciyota irukkuratu aracarota tavaru avaru kajanavula irukkurai panatta etuttu paciyota irukkiravankalukku cori pota kutatu ana kajanava etukku aracarukku kotutturukkanku purincikittu nattula irukkura varikalai kuraicci ate nerattula kajanava varumanam uyartti ,ta
yarume paciyota irukkata alavukku pattu kitanum Appattan aracar atutta kelviya kettaru ellaraiyum aranmanikku arukila irukkura mantoppukku kutitttu poyi anka vati poy irunta mamara cetikalai kamiccu ita eppati valamana cetiya ,ta
 ate matiri vati irunta matta cetikalota ver pakutiyila irunta manai arancuccu atuttata valama celiappai valarntu irunta cetikalota ver pakutiyila irukkura manaiyum aranciccu,ta
"sila soozhnilaigalil, anthach saeyal pallikkoodangal matrum maruththuvamanaigal ponra adippadai samooga saevaigalaiyum ulladakkum.",ta
Im menporul XP/windows vista iyanguthalangalil iyangavallathu.,ta
paarapatchamindri thalaiviritthaadum oozhal,ta
"paanidiya kallakallil irudhthe palla vaivazhi illakiyankal ingu irudha poodum, iiyandham noorandhin peerage arabia illayikiyam valraith thodanghiyudhu.",ta
"Ramasamyin kadaisi koottam chennai, thiyagaraya nagaril, december 19, 1973 andru avar kalanthu konda koottamaagum.",ta
sila visayangalil pathiram 'selavaniyalla' ena kurikkapadum.,ta
Indiavin mudhal pen maththiya amaichar endra perumai ivarukku oondu.,ta
ithakudhalukkena muppadhu varaiyaana veerargalai konda ani kadalvazhiyaaga nagarndhadhu.,ta
ivargal padhinaaru manineram velai seithu migak kuraivaana oothiyatthaip petranar.,ta
"ORG ennum valaith thalaththirku thodarburuththiyathum, idhan neradi kanini ezhuththuppadiyaanadhu adhiga alavilaana paarvaiyaalarkalaip petru, avvalaip parappin urimaiyalar adhu thodarbaana anaiththu varavugalaiyum soresin valaith thalaththirku maatriyamaikkumaaru seivadhil vilainthathu.",ta
"navina kudiyarasil, pirathinidhigalai therindhuppathaikku ulagam thazhuvia oru muraiyaga therthal kadaippidikkapadhugiradhu.",ta
Ivvarisaimaattramum vatta varisaimaattramaagum.,ta
Paarasigathin Kiranigasil petra mudhal vetrikku piragu haligarnass-sil Alexander Paraseega maaganangalin saranadaivai etrukkuondaar.,ta
podhuvaana velai pattiyalai vuruvaakuthal;,ta
Othiyan kuzhumooril vaazhntha oru vallal.,ta
ikkatchiyin kolkaigalum ethan sarindha seithigalum vegu veraiveleye grammaithinaridam paraviyadhu.,ta
thayarippu nithi patrakurai karanamaga ippadamedukka kalathamathamanathu.,ta
sithraa pavurnami,ta
Ojaar endra peyaril ulla oorgal:,ta
Thaanaa meraa thodarnthu nilaiyum Singapoorin thurithak kadavu rayil nilaiyangalil onrdraagum.,ta
"kuzhandhai Francis kondulla tholainokku paarvai, makkal sakthilyil avar vaithulla nambikkai, matrum makkalin ottumotha valarchikaaga tham thittangal vazhiyaaga avar enbithulla urudhipaadu aagiyavatrai potri, avarukku Maksese parisu vazhangapattulladhu.",ta
n-aasam il siirththi njaanaprakaasan,ta
naveena inthiya ilakkiyatthin sirantha seiyulgalil ithuvum ondraaga thigazhgirathu.,ta
"panik kaalangalil cauliflower, pachai pattaani serthu seivadhu vazhakkam.",ta
ivattrin sikkalaana inapperukkath thevaiyum puraiulla tholum ivattraich soozahlnilaikaatigalaaga aakkukindarana; anmaip paththaandugalil ulagengum iruvaazhi inangalin thogai arugivarugirathu.,ta
Munbu por nadantha nagarin vadakanavaayaana naatch arugil 35 aam kaalaatpadaiyani thaan yethirkonda 500 vadakoriya porveerargalai purangkandathu.,ta
Simpil intrudaksan tu savuth indhiyan kilasikkal miyoosik - paart 1 pablistu bai veldu muyoosik sentral,ta
"uzhavukkum uzhavanukkum uruthunaiyai ninru ""koodai uzhavu"" ponnra innum pira velann thozhil nutpangallai pinpatra pazhakidhuvum uzhavukku thollkoduthu ullagai kappum.",ta
"mu 15 am norrandhu (kurugiya kalavazhi) mitthani perarasudan ennaindhu, allalagavin jatrimi udan oru oppandhathil kaiezhuthitar.",ta
Mee tholaivilum amainthullathu.,ta
Thirukattupalli Ramasamy Mudaliar seidhadhu,ta
"sattath thoguppin kizh, pin varvana mattrathakka sellavanniyaga, athagaiya porutkalai poorutha varai satta nirvaga prouppugal iruppinnum, mattrathakka sellavanniyaip poonroo alladhu atharkana poorundhum sattathillirundhoo perrapaduvana:",ta
Vilakku oliyin niramum athan alavum iadththirku yettravagaiyil maarupadum.,ta
Yutharin thooimaich sadangugalukkuth thevaiyaana aaru kalthottigal ange irundhana.,ta
"adharku munbu June 1, 2013 mudhal Punjab mattrum Haryana uyar needhimandratthin thalaimai needhipadhiyaaga padhavi vagitthaar.",ta
Kiraanthi paandevaaga anuppam shyam,ta
Immudivinai muthanmuthalil kanithaviyalaalar Keyli niruviyullar.,ta
Sathiyan yenbavar indhiya arasiyalvaathi.,ta
"Tharpothu, aaasiyaaavil perumbaalum inippukalil suvaiyoottum ondraaga karpooram payanpadukirathu.",ta
"inraya thiruchabai vazhakkapadi, karthinaal kuzhuvin thalaivar Osthiyaa nagara aayar ennum mariyaathaip poruppu kondullaar.",ta
singapore viduthalai adainthapiragum aangilame muthanmaiyaana inaippumozhiyaaga vilangiyathu.,ta
"nadaimuraiyil kaatrucchirangatthil sothikkap payanpadutthappadum maathirigal avatrin unmaiyaana maathirigalaivida alavil palamadangu siriyathaaka irukkum, aagave acchiriya maathirigalai vaitthu sothittharintha mudivugalai nadaimuraiyil payanpadutthappadum porutkalukku porutthippaarkka oru vazhimurai thevaippatthu.",ta
inthap pottiyil Newzeland ani 9 ilakkugal vithiyaasaththil vetri petrathu.,ta
"1889-1890 aandukalil, thennaappirikka muthalthara thuduppaatta uruppinaraaka muthalthara thuduppaaatta pottikalil pangkukondaar.",ta
"Sindhuveli moli enbathu, kimu 1,500 aandu kaalapaguthikku munnar inraya Pakistan, India aagiya nadugalul alangiyulla paguthigalil selithiruntha Sindhuveli nagareega makkal pesiya moliyay kurikkum.",ta
Ayyappanjseri,ta
idhan kaaranamaaga vvuniyavin yellaipura oorgal matrum thennilangaiyai serndha 500kkum merpatta perumbaanmaiina ilainyargal ivarin vazhikaatalai yeatru ploud amaipil inaindhu seiyarpattamayum kuripidathakadhu.,ta
"Thanthai pandaththarippaich sernthavar, thaayaar (tuvait) maanippaayai sernthavar.",ta
Aanalum athan uchcha nilai trajon enddra perarassin kaalaththil aerpattathu.,ta
sozhar kudippeyargal,ta
"aayinum, kanvaai ponra sila vagai meengal, thamathu udalil aazhamaga Chromatophore enappadum nirami anukkalaik kondirukkalaam.",ta
Intha arivippai karnaadaga uyarneethimandra neethipathi vakelo ariviththullar.,ta
Ikkaruththaiyum yethirththu Fresar vimarsikkiraar.,ta
toorat noikkoottarikuri udaiyoril 15 vizhukkadinaridam idhu kaanappadum.,ta
James cook 1728- aam aandu Engilaanthu naatin yaarkseyaril piranthaar.,ta
scotlandhu muthalamaichar alkesu saalmant pathavi thuranthaar. (bbc),ta
Iraivan veethi ulaa ezhunthurulum pozhuthu mallaariyai isaippar.,ta
Indru kiriththavam paravalaaga ulla therku vadakkup paguthikalilum kooda ivai nilavukindrana.,ta
"alavedippathu, antha alavugalai kaakithaththin meetho, thunigalin meetho muraiyaaga pathiya vaiththu, alavugalukku yerpa thunigalai vettuvathu, paaniyaipan paduththuvathu, yellaam vilakkamaaga tharapadukindrana endru noolukkaana arimuga vuraiyil aasiriyar kurippidukiraar.",ta
indha nedunchalai koniyin vazhiye selgiradhu.,ta
"sileydai, madakku, thiripu, muthalaana thamizhnadai suvaiyodu koodiyavai.",ta
maanilap sattapperavaiyil enthavoruk katchikkum allthu koottanikkum aruthip perumbaanmai kittaathu aatchi amaikka iyalaathiruppinum kudiyarasuth thalaivaraatchi amaiyalaam.,ta
Ithanmoolam athiga ilakkugal veezhththiyavargal varisaiyil muthalidam pidiththaar.,ta
"1903 aam aandil ikoppaip poti aarambikkappattadhu; adallal, idhuve miga pazhaimiyana yesubaniya kaarpandhup potiyaagum.",ta
ith thondu aduttha 40 aandugal thodarnthu nadaipetrathu.,ta
Ithil pulappadum natchaththiram F0 yennum niramalaiyiyal vaguppirku uriyathaagum.,ta
"pothuvaga intha uthi thulliyamillamai, kuraintha vega suduthal, matrum varambukutpatta veechu agiyavatrai yeedukattavum, matrum athigapatcha thakkathai uruvakkavum payanpadutha pattathu.",ta
jo thangile,ta
ikkuzhumam pala nootraandugalaaga ippagudhiyin vanigam thodarbil mukkiya sakthiyaaga vilangiyadhu.,ta
Ivai aniyilakkanaththukku adippadai.,ta
Athanai Haajimuhammed padiththu andraadam thesa nigazhchchigalai oondrikkavaniththu vanthaar.,ta
Nochimunai,ta
Ragu oru viyaabaarak kootaththirku sendru iruppathaal Sriram Geethavai maruththuvamanaiyil kondu serkiraan.,ta
intha amaipin pothu seyalaalar seyalpadum tholar ve.,ta
aagatthu 1887 il iv aalayam katti mudikkappattathaagum.,ta
1944 aam andu Mangayarkarasi ennum thiraipadathirku muthanmuthal uraiyaadal ezhuthinaar.,ta
ival varugaikaga thaan rajanga thottam kattapattathu.,ta
"Naagu kadithu, varagu kadithu, thelgu kadithu, yeggu kadithu, kurangu kadithu (iyalbu) -20",ta
Ulagalavilaana makkalthogaip perukkaththaik kattuppaduthuvadharkaaga arasaangangal manidhargalin thevaiyatra thanikkoorugalai theermanithal.,ta
ivvaalayaththai thiruththanthai muthalaam Thomas seemaiththu punitha Lawrence paerungkovilaaga maatrinaar.,ta
moodiya sutruk kattuppaadu allathu pinnoottu kattuppaadu yenbathu pinnoottai payanpaduthi muraimaiyai kattuppadutthuthal aagum.,ta
Suthanthiramaaga vaakkurimai alikkum urimai peruvathu yenbathu Amerikka manitha urimai iyakkaththin oru perum ilakkaaga irundadhu.,ta
1926 il arasa uthaviyai peruvatharkaaga saiva viththiya viruththich sangaththidam ippaadasaalai oppadaikkappattathu.,ta
Koedaikkaalaththil intha naaykalukku kidaikkum pul unavu kulir kaalaththil kidaippathillai.,ta
Veedu thaandu varuvaayaa?,ta
Kathirmoolathilirundhu velippadum kathirgal muthanmaik kathirgal yena ariyappdukindrana.,ta
mithilai pandaya vithega natin thalainagaraga vilangiyathu.,ta
"Naatin thanmaanathai vittukodukathu, mayabagithil maritha langabuvanan ""vangi"" (manangkamalnan) enru sundaa makkalal potrapattathudan, avanathu valithonralgalum ""silivangi"" enra sirapupeyaraal kuripidapattanar.",ta
olippu idangal,ta
indhak karuvigal kadandha naarpadhu varudangalaaga visaiyaazhi vadivamaippil nilaiyaana munnettrangallukku ittucchelpavaiyaaga irukkindrana.,ta
"Ikkoyilin gopuraththinaik kadanthu sendrathum, angirukkum kodi maraththinai vananga vendum.",ta
Alexanderaal thernthedukkappatta adaa-vidam kaariya arasin aatchiporuppai oppadaiththaar.,ta
Vangaala sulthaanakam.,ta
Appallo 17- aanadhu nilavil manidhar irangiya aaraavadhu payanaththittamaagum.,ta
Pinnar Aantipettarai aatchiporuppil amarththivittu Alexander Aasiya nokki payanikka aarambiththar.,ta
Athu yeppadi irukkum yendru kurunthogai paadal yen 274 therivikkirathu.,ta
manchester palgalaikalaga maanavar sanga kattidathirku avarathu peyarai sootti gaoravikka pattullaar.,ta
Muthalnilai valuppaduththal adippadaiyaana udaliyal thevaigalai pasi mattrum thaagaththinai kuraikkirathu.,ta
ivarukku yeazhuthumayakkam kuraipaadu ullaadhu.,ta
kuliril namadhu thasaigal surukamadaindhu veppathai urpathi seiyum.,ta
Miguntha valarntha naadugalil kooda mudiyavillai.,ta
Isaac padaiyil nedungaalamaaga murasu muzhangubavaraaga irunthu 1743 Tettingen porukku piragu noivaaippattu iranthaar.,ta
1993 muthal Nepaala thozhirsangangalin pothukkootamaippin magaliranith thalaivaraagap mukkiyap pangaattrinaar.,ta
Ivarathu munnor 1649 il irunde urusiyaavil vaazhnthuvarukinranar.,ta
"angu paalaivanathil, ivai vaazhgindrana.",ta
"kandarathitharin maganaana madhurantha thevan, shiva kaingaryathil edupattukondirukiraar.",ta
Perumbaalum kavithai katturai sirukathaigalaiye yezhuthi varukinraar.,ta
Yeshvanthiraav Chawan paalam,ta
"Gannavaram, Ambajipeta, Ayinavalli aagiya mandalangalum, Mamidikududru mandalaththil ulla Pedapatnamlanka, Appanapalle, Botlakurru Doddavaram, Pasarlapudi, Nagaram, Mogalikuduru, Makanapalem, Lutukurru, Pasarlapudilanka, Adurru aagiya oorgalum saerkkappattullana.",ta
kurichi pudhiya pirai maruthuvamanai,ta
Aranganayagi aagiyorukku maganaga 1929 March 16aam naal pirandhar.,ta
virivaana aaivu,ta
Vaazhkai varalaatru aasiriyar.,ta
"punitha yagappa aalayam yalpanam, gurunagaril amainthulla oru catholikka kovilagum.",ta
andha uraiyin thoguppu: naan kalooriyil pattappaddippai muzhumaiyaaga mudikkavillai.,ta
Uruppinar: dharmesh singh thoemar.,ta
"Koreyak kudiyarasai athan vadapula naadaana Koriya makkal jananaayagak kudiyarasu 1950 June 25 aam naal muttrukaiyittu porvedithththum ikkiya naadugal avai apporai yethirkolla, thenkoriyaavin uthavikku padaiyanuppa midivu seithathu.",ta
Samasthaana inaippin mattroru prachchanai samasthaanamaaga amainththu jeenaakaath aagum.,ta
avaradhu ilamaikala nanbargal palar mudhalam ulaga poril pormunaigalil maranamadaindhanar.,ta
10-nimida asaiyum padaththai 5 mayilgal thooraththirku anuppinaar.,ta
"aanaal, sikkalaana kattitangalaip poruththavarai immurai ilaguvaanathallaa.",ta
Nadarajan (muzhuppaeyar thangaraasu nadarajan) yenbavar oru thamizhaga thuduppaatta veerarraavar.,ta
varungaalatthu vaanoorthigalin ul kattumaanangal pattriya vilakkangal mudhal pala ariya seidhigal idhil veliyaagindrana.,ta
ivar enthavoru thervuth thuduppaattap pottiyilum kalanthu kollavillai.,ta
"Indhu samaya koyilil samayal seyum idam ""Madapalli"" endru azhaikkappadukiradhu.",ta
bharani bharani bapbharani,ta
Thittavattamaana vaegam visaiyaazhiyilirunthu thaniththiruppaththilirunthu perappadukirathu.,ta
Aagaththu 7 aam naalandru keen padaiyani maasaanil irunthu veliyaeri than thaakkuthalai thodangkiyathu.,ta
thuraimugatthil ulla kappalgalai vaanoorthigal elithil thaakki azhikkum nilai uruvaanathu.,ta
Vazhakku nadantha neethimandraththil kattukkadangaatha paarvaiyaalar kootam koodiyathu.,ta
Kujaar maanila kooturavu vangi li.,ta
Ivanin pin ivanathu udanpirappaana yassalaalaka thissan aatchipeedam aerinaaan.,ta
semmuga manthi nellikkaniyai vattaaduvathu pola nilaththil uthirkkum valam maari manthigale unavillaamal pulambumaam.,ta
palkan kudaa,ta
Anthach soththukal uyarntha aaramba vilaiyaiyum theermaanikka mudiyaatha oru mathippinaiyum kondirukkum.,ta
Bentiktt maartis yennum Austria naatu maruththuvar innoyin arikuri pattri vivariththaar.,ta
Naarpadikalukul ulla ovvoru ruthreniyamum enmuka moolakootru vadivathudan irandu floride eenthanaivi paalangkaludan amainthullana,ta
Koavur kizhaar poaridu allathu vittukkodu ena kooriyathai ivan nalangkillikku vittukkoduththu vilagivittaan enbathai nalangkilliyin selvaakku unarththukirathu.,ta
"idhanaal, oru manineram podhuvaana alagaanadhu.",ta
Thirandha samuthaaya niruvanamum sores arakkattalai valaippinnalum.,ta
"Aasiriya urichseer yenappadum eerasaich seergal migunthuvarum.piraseergalum kalanthuvarum. Aanaal nirainaduvaagiya vanjiyuriseergal (karuvilangkani, koovilangkani) varaathu.",ta
ivar aangilathil puthinangalum noolkalum ezhuthiyullaar.,ta
ithu udarkootriyalaga tharkaala thavalaigalai othullathu.,ta
